A is a point.	point_A
O is a point.	point_O
A point exists.	point_X
Point A exists.	point_A
Point B exists.	point_B
There is a point.	point_X
There exists a point.	point_X
A and B are two points.	points_A_B
AB is a straight line.	line_AB
A and B are two points connected by a line.	line_AB
A and B are two points connected by a straight line.	line_AB
O and P are two points connected by a line.	line_OP
O and P are two points connected by a straight line.	line_OP
Shortest path between two points is the straight line connecting them.	line_AB
A, B and C are three points.	points_A_B_C
Atleast 3 points are needed to form a triangle.	triangle_ABC
Atleast 3 points are required to form a triangle.	triangle_ABC
A triangle is a polygon having 3 sides.	triangle_ABC
A triangle is a three-sided polygon.	triangle_ABC
ABC is a triangle.	triangle_ABC
ABC is a polygon with 3 sides.	triangle_ABC
ABC is a polygon having 3 sides.	triangle_ABC
A, O and B are collinear points.	collinear_AOB
O is a point on a straight line AB.	line_AOB
The two straight lines AB and CD cross one another at point O.	lines_AB_CD
The two straight lines AB and CD intersect at point O.	lines_AB_CD
The two straight lines AB and CD cross at point O.	lines_AB_CD
Angles AOB and BOC have a common arm OB.	angles_AOB_BOC
Angle AOB and angle BOC have a common arm OB.	angles_AOB_BOC
Angles AOB and BOC are adjacent angles.	angles_AOB_BOC
Angle AOB and angle BOC are adjacent angles.	angles_AOB_BOC
Adjacent angles are angles having a common arm.	angles_AOB_BOC
Angle AOB is a acute angle.	acute_angle
Angle AOB is a obtuse angle.	obtuse_angle
Angle AOB is a right angle.	right_angle
Angle AOB is a straight angle.	straight_angle
Angle AOB is a reflex angle.	reflex_angle
Point M is the midpoint of line AB.	line_AMB
Point M is the middle point of line AB.	line_AMB
M is the midpoint of line AB.	line_AMB
M is the middle point of line AB.	line_AMB
Point M bisects the line AB.	line_AMB
M is the point of bisection of line AB.	line_AMB
Line segment OP bisects the angle AOB.	angle_AOB_bisector_OP
OP bisects the angle AOB.	angle_AOB_bisector_OP
Line OP bisects the angle AOB.	angle_AOB_bisector_OP
OP is the angle bisector of AOB.	angle_AOB_bisector_OP
OP is the angle bisector of angle AOB.	angle_AOB_bisector_OP
OP is the bisector of angle AOB.	angle_AOB_bisector_OP
Every angle has an angle bisector.	angle_AOB_bisector_OP
A straight line can be drawn from any point to any other point.	line_AB
